Cryptocurrency,Symbol,First_Date_Close,Last_Date_Close
Cardano,ADA-USD,1.153254,0.290313
Cosmos,ATOM-USD,8.973301,9.016958
Avalanche USD,AVAX-USD,10.526582,12.667883
Binance Coin,BNB-USD,261.818085,240.792435
Bitcoin ,BTC-USD,32505.66016,29912.28125
Dogecoin ,DOGE-USD,0.191031,0.065643
Polkadot,DOT-USD,14.652412,4.830628
Ethereum Classic,ETC-USD,36.526569,16.648348
Ethereum,ETH-USD,1874.950073,1872.942993
UNUS SED LEO,LEO-USD,2.484299,3.728436
Chainlink ,LINK-USD,16.806492,5.568067
Litecoin,LTC-USD,119.602684,86.070221
Polygon,MATIC-USD,1.074384,0.656791
OKB ,OKB-USD,9.068693,44.486534
Shiba Inu,SHIB-USD,0.000006,0.000008
Solana,SOL-USD,26.771856,16.64262
Wrapped Bitcoin,WBTC-USD,32448.80469,29927.51172
Stellar,XLM-USD,0.23463,0.086697
Monero ,XMR-USD,201.531525,150.118637
Ripple,XRP-USD,0.545067,0.494975
